file,question,answer,answer_start,answer_end
1345136.txt,ใครเป็นผู้ออกตราสารหนี้ภาคเอกชน ไร้ใบตราสาร,ไม่มีการรวมศูนย์อย่างตราสารภาครัฐ แต่ส่วนใหญ่ดำเนินการโดยศูนย์รับฝากหลักทรัพย์ (TSD),7716,7799
1345195.txt,Penny Stock หุ้นเหรียญ มีลักษณะอย่างไร,"*	หุ้นที่มีราคาซื้อขายต่อหน่วยต่ำ (ในสหรัฐฯ คือ ราคาต่ำว่า 5 ดอลลาร์, ในสหราชอาณาจักร United Kingdom คือ ต่ำว่า 1 ปอนด์)",3019,3138
1345200.txt,ราคาต้นงวดคืออะไร,ราคาต้นทุนหรือราคาซื้อ,501,522
1345179.txt,อัตราการใช้สิทธิของ NVDR คือเท่าไหร่,1 : 1 (NVRD : สินทรัพย์อ้างอิง) เสมอ,1012,1047
1345158.txt,หนังสือชี้ชวนส่วนสรุปข้อมูลสำคัญ (Fund Fact Sheet) คืออะไร,เอกสารที่ให้ข้อมูลที่สำคัญกับผู้ลงทุน,1116,1152
1345171.txt,ข้อสัญญา (Covenants) คืออะไร,พันธสัญญาที่ผู้ออกตราสารให้ผู้ลงทุนเพื่อเพิ่มความมั่นใจให้กับผู้ลงทุนมากยิ่งขึ้น,892,971
1345185.txt,XT คืออะไร,ผู้ซื้อหลักทรัพย์จะไม่มีสิทธิได้รับ TSR,1165,1203
1345175.txt,Equity-Linked Product  คืออะไร,ถือเป็นตราสารอนุพันธ์ (Derivative) ประเภทหนึ่ง ที่มีลักษณะเป็นสัญญาที่ให้สิทธิในการซื้อหรือขายตราสารทุนที่อ้างอิง (Underlying Equity) ในระยะเวลาที่กำหนด ดังนั้นผลตอบแทนและมูลค่าของ Equity-Linked Product จึงขึ้นลงตามมูลค่าของตราสารทุนที่อ้างอิง,241,483
1345185.txt,หลักเกณฑ์การขึ้นเครื่องหมาย  SP มีอะไรบ้าง,"*	เมื่อขึ้นเครื่องหมาย H แล้วแต่บริษัทไม่สามารถให้ข้อมูลกับตลาดฯ ได้ในทันที
			*	บริษัทไม่ปฏิบัติตามกฎหมายเกี่ยวกับหลักทรัพย์และตลาดหลักทรัพย์
			*	บริษัทไม่ส่งงบการเงินภายในเวลาที่ตลาดฯ กำหนด
			*	หลักทรัพย์อยู่ระหว่างการพิจารณาเพิกถอนออกจากตลาดฯ
			*	หลักทรัพย์อยู่ระหว่างการพิจารณาให้พ้นจากการเข้าข่ายถูกเพิกถอน
			*	หลักทรัพย์ (เช่น Warrant) จะครบกำหนดสัญญา
			*	มีเหตุการณ์ร้ายแรงที่อาจจะส่งร้ายแรงต่อการซื้อขายหลักทรัพย์",2825,3250
1345158.txt,รายละเอียด เสนอขายกองทุนครั้งแรก (Initial Public Offering: IPO) มีอะไรบ้าง,"*	ต้องแจกจ่ายหนังสือชี้ชวนเพื่อเป็นข้อมูลประกอบการตัดสินใจให้ผู้ลงทุน
			*	ปกติราคาเสนอขายครั้งแรก คือ 10 บาท
			*	ระยะเวลาเสนอขายครั้งแรกต้องไม่น้อยกว่า 2 วัน",1542,1700
1345160.txt,ลักษณะสำคัญของกองทุนรวมสินค้าโภคภัณฑ์ในไทย มีอะไรบ้าง,"-	เป็นกองทุนรวมหน่วยลงทุน ที่นำเงินไปลงทุนในกองทุนรวมสินค้าโภคภัณฑ์ในต่างประเทศ
				-	กองทุนรวมสินค้าโภคภัณฑ์ในต่างประเทศที่เข้าลงทุน ส่วนใหญ่มีนโยบายการบริหารแบบเชิงรับ (Passive Management)",7131,7320
1345138.txt,ผู้ออกตั๋วเงินคลัง คือผู้ใด,กระทรวงการคลัง,2045,2058
1345150.txt,รูปแบบของกระแสเงินสด มีกี่รูปแบบ,3 รูปแบบ,1921,1928
1345158.txt,ประโยชน์ของกองทุนรวมต่อด้านตลาดการเงิน คืออะไร,"*	เพิ่มเครื่องมือการลงทุน
		*	ขยายกลุ่มผู้ลงทุนใหม่ๆ
		*	เกิดการขยายตัวของตลาดการเงิน",3315,3399
1345138.txt,สำนักหักบัญชี ทำหน้าที่อะไร,เป็นคนกลาง (Counter Party) ในการชำระราคาและส่งมอบหลักทรัพย์,3849,3907
1345158.txt,หนังสือชี้ชวนส่วนข้อมูลโครงการ คืออะไร,เอกสารที่มีข้อมูลที่เกี่ยวข้องกับกองทุนรวม,831,872
1345160.txt,Feeder Fund คืออะไร,กองทุนรวมที่เน้นลงทุนในกองทุนรวมใดกองทุนหนึ่ง ≥80%,14133,14182
1345177.txt,อายุของตราสาร ของ Warrant (ไทย) คือเท่าไหร่,2 – 10 ปี,1286,1294
1345191.txt,SETSMART on Internet มีอะไรบ้าง,"*	สำหรับผู้ใช้งานรายย่อย หรือนักศึกษา
			*	ใช้งานผ่าน Internet
			*	มีทั้งแบบให้ข้อมูล 3 ปีย้อนหลัง และ 5 ปี ย้อนหลัง",863,979
1345183.txt,หลักการสำคัญในการคำนวณราคาเปิดและราคาปิด คืออะไร,ต้องเป็นราคาที่ทำให้เกิดปริมาณการซื้อขายสูงสุด,1854,1899
1345142.txt,สมมติฐานการนำดอกเบี้ยรับไปลงทุนต่อ คืออะไร,ผู้ลงทุนจะนำดอกเบี้ยที่ได้รับไปลงทุนต่อ ซึ่งได้อัตราผลตอบแทนเท่ากับอัตราผลตอบแทนของตราสารหนี้เดิม,1047,1143
1345191.txt,SETSMART on Extranet มีอะไรบ้าง,"*	สำหรับผู้ใช้งานองค์กร
			*	ใช้งานผ่านเครือข่าย Extranet ของตลาดหลักทรัพย์ฯ",757,832
1345158.txt,บริหารแบบเชิงรุกมีความเชื่ออย่างไร,ตลาดหลักทรัพย์ไม่มีประสิทธิภาพ,6074,6103
1345160.txt,LTF มีนโยบายการลงทุน อย่างไร,ต้องเป็นกองทุนที่ลงทุนในหุ้นไทย ≥65% ของสินทรัพย์สุทธิของกองทุน,14640,14702
1345154.txt,การซื้อแล้วถือยาว (Buy and Hold Strategy) มีวิธีการอย่างไร,"*	เป็นการซื้อและถือลงทุนระยะยาว
	*	เชื่อว่าการเลือกบริษัทที่ดีแล้วถือยาว จะให้ผลตอบแทนที่ดีกว่าการซื้อขายบ่อยๆ
	อัตราผลตอบแทนจากเงินปันผล (Dividend Yield)  = เงินปันผล / ราคาหุ้น
	อัตราการจ่ายเงินปันผล   (Dividend Payout Ratio)  = เงินปันผล / กำไร",1129,1375
1345201.txt,ความเสี่ยงจากการลงทุนต่อ (Reinvestment risk) มีกี่ระดับ,2 ระดับ,1592,1598
1345158.txt,บริหารแบบเชิงรุก มีวิธีการลงทุนอย่างไร,วิเคราะห์ข้อมูลและตัดสินใจลงทุน,6029,6059
1345173.txt,ตราสารหนี้แบ่งตามสิทธิแฝง มีอะไรบ้าง,"ตราสารหนี้ที่ผู้ออกมีสิทธิไถ่ถอนคืนก่อนครบกำหนด (Callable Bond)
		ตราสารหนี้ที่ผู้ลงทุนมีสิทธิเรียกคืนเงินกู้ก่อนครบกำหนด (Puttable Bond)
		หุ้นกู้แปลงสภาพ (Convertible Bond)",1029,1202
1345195.txt,Mid-cap Stock (หุ้นกลาง) คืออะไร,หุ้นลำดับที่ 51 – 100 ใน ดัชนี SET100 (ดัชนี SET 100 คือ ดัชนีที่ประกอบด้วยหุ้นไทยที่มีขนาดใหญ่ที่สุด 100 บริษัท ที่มีสภาพคล่องในการซื้อขาย),3375,3514
1345160.txt,กองทุนรวมตราสารทุน (Equity Fund) คืออะไร,"เน้นลงทุนในตราสารทุน เช่น หุ้นสามัญ, หุ้นบุริมสิทธิ, ใบสำคัญแสดง โดยจะลงทุน ≥80% ของสินทรัพย์สุทธิของกองทุน",6110,6216
1345183.txt,16.30 – 16.40 น. มีรายละเอียดอย่างไร,Pre-close (ก่อนปิดตลาดบ่าย) ระบบคำนวณราคาเปิดของหลักทรัพย์ช่วงบ่าย จากคำสั่งซื้อขายของนักลงทุน โดยตลาดจะสุ่มเวลาในการปิดตลาด (Random) ในช่วง 16.35 – 16.40 น.,719,875
1345138.txt,ผู้ที่ออกตั๋วแลกเงินและ หุ้นกู้ คือผู้ใด,บริษัทเอกชน,2199,2209
1345173.txt,Floor คืออะไร,การกำหนดอัตราดอกเบี้ยขั้นต่ำ เพื่อให้ผู้ลงทุนใช้ป้องกันความเสี่ยง ไม่ให้อัตราดอกเบี้ยลดลงต่ำกว่าระดับผลตอบแทนขั้นต่ำที่ตนเองต้องการ,4240,4370
1345171.txt,CB คืออะไร,Central Bank Bill พันธบัตรระยะสั้นที่ออกโดยธนาคารแห่งประเทศไทย,1774,1835
1345156.txt,กลยุทธ์การจัดสรรสินทรัพย์ลงทุน (Asset Allocation) คืออะไร,กลยุทธ์การกระจายการลงทุนไปยังกองทุนที่ลงทุนในสินทรัพย์หลากหลายประเภท เพื่อสร้างกลุ่มสินทรัพย์หรือพอร์ตการลงทุนที่เหมาะสมกับผู้ลงทุน,131,261
1345160.txt,กองทุนที่ได้สิทธิประโยชน์ทางภาษีในปัจจุบันมีกองทุนอะไรบ้าง,1. กองทุนรวมหุ้นระยะยาว (Long-term equity fund: LTF)  2. กองทุนรวมเพื่อการเลี้ยงชีพ (Retirement mutual fund: RMF),14384,14496
1345185.txt,NP คืออะไร,บริษัทจดทะเบียนไม่ส่งงบการเงินหรือรายงานตามกำหนด,1627,1674
1345158.txt,ประโยชน์ของกองทุนรวมต่อด้านระบบเศรษฐกิจ คืออะไร,"*	นำเงินลงทุนกระจายสู่ผู้ที่ต้องการเงินทุน
		*	เกิดการขยายกิจการ การจ้างงาน การจับจ่ายใช้สอย
		*	ส่งผลบวกต่อการเติบโต GDP และเศรษฐกิจ",3166,3298
1345150.txt,วิธีคิดลดกระแสเงินสดอิสระของกิจการ (Discounted Free Cash Flow to Firm) คืออะไร,การประเมินมูลค่า โดยการใช้ผลรวมของเงินกระแสเงินสดอิสระของกิจการในอนาคตที่คิดลดด้วยต้นทุนของเงินทุนกิจการ (Weighted Average Cost of Capital : WACC),3365,3510
1345160.txt,เพราะเหตุใดผู้ลงทุนจึงไม่ควรซื้อ LTF และ RMF เกินสิทธิที่ได้รับการลดหย่อนภาษี,เพราะส่วนที่เกินสิทธิจะไม่ได้รับการลดหย่อนภาษี,17954,17999
1345173.txt,ตราสารหนี้ระยะยาว คืออะไร,ตราสารหนี้ที่อายุ >1 ปี,1951,1973
1345160.txt,กองทุนรวมที่มีความเสี่ยงต่างประเทศ คืออะไร,กองทุนรวมที่ลงทุนในต่างประเทศ ≥80%,3314,3347
1345160.txt,ความเสี่ยงของกองทุนอสังหาฯ มีอะไรบ้าง,"-	ความเสี่ยงที่ทำให้รายได้ค่าเช่าและกำไรไม่แน่นอน ซึ่งอาจมาจาก เศรษฐกิจ, ภาวะการแข่งขันของอุตสาหกรรม, ภัยธรรมชาติต่างๆ
				-	ความเสี่ยงด้านสภาพคล่องการซื้อขาย แม้ว่ากองทุนจะจดทะเบียนซื้อขายในตลาดหลักทรัพย์ แต่บางกองทุนก็มีปริมาณการซื้อขายน้อย",8626,8867
1345177.txt,Warrant ความหมายในไทยคืออะไร,เป็นสัญญาที่ให้สิทธิในการจะซื้อหุ้นสามัญอ้างอิง ในระยะเวลาที่กำหนด (ระยะเวลาส่วนใหญี่อยู่ระหว่าง 2 – 10 ปี) โดยผู้ออก Warrant จะเป็นบริษัทที่จดทะเบียนในตลาดหลักทรัพย์นั่นเอง โดยเนื้อหาต่อจากนี้จะกล่าวถึง Warrant ไทยเท่านั้น,361,583
1345138.txt,การพยายามขายให้ดีที่สุด คืออะไร,ผู้จัดจำหน่ายจะพยายามอย่างดีที่ดีสุดเพื่อจำหน่ายตราสารหนี้ให้หมด,3068,3131
1345138.txt,ผู้เกี่ยวข้องกับตราสารหนี้ไทย มีกี่กลุ่ม,5 กลุ่ม,78,84
1345195.txt,สิทธิ์ของผู้ถือหุ้นสามัญ มีอะไรบ้าง,"1.	สิทธิ์การออกเสียงในที่ประชุมผู้ถือหุ้น ในการประชุมผู้ถือหุ้นนั้นมักมีการให้ออกเสียง (Vote) เพื่อตัดสินใจเรื่องที่สำคัญต่อกิจการ เช่น การคัดเลือกผู้บริหารกิจการ, การเข้าซื้อกิจการอื่น, การขายกิจการให้ผู้อื่น การจ่ายเงินปันผล ทั้งนี้หุ้น 1 หุ้น มีค่าเท่ากับเสียง 1 เสียง ดังนั้นผู้ที่ถือหุ้นจำนวนมากจะมีสิทธิ์ในการออกเสียงมากกว่าผู้ที่ถือหุ้นในจำนวนน้อย
		2.	สิทธิ์ในการรับเงินปันผล ซึ่งจำนวนเงินปันผลขึ้นอยู่กับผลประกอบการและนโยบายการจ่ายเงินปันผล
		3.	สิทธิ์ในการจองหุ้นสามัญเพิ่มทุน
		4.	กรณีบริษัทล้มละลายและต้องขายสินทรัพย์เพื่อชำระหนี้ บริษัทจะนำเงินไปจ่ายคืนให้ เจ้าหนี้ (ธนาคารและผู้ถือหุ้นกู้ของบริษัท) ผู้ถือหุ้นบุริสิทธิ และผู้ถือหุ้นสามัญ ตามลำดับ",319,978
1345173.txt,หุ้นกู้แปลงสภาพ (Convertible Bond) คืออะไร,หุ้นกู้ที่ให้สิทธิกับผู้ลงทุนในการแปลงเป็นหุ้นสามัญได้ ซึ่งจะมีกำหนดราคาแปลงสภาพ (Conversion Price) และอัตราส่วนการแปลงสภาพ (Conversion Ratio) หุ้นกู้แปลงสภาพมีลักษณะเสมือน ตราสารหนี้ที่ไม่มีสิทธิแฝง+สิทธิในการแปลงเป็นหุ้นสามัญ ส่งผลให้การเปลี่ยนแปลงของราคาหุ้นสามัญมีผลต่อราคาหุ้นกู้แปลงสภาพ,6940,7231
1345138.txt,หน้าที่ของผู้รับฝากทรัพย์สิน คืออะไร,ดูแลและเก็บรักษาหลักทรัพย์,4295,4320
1345177.txt,อายุของตราสาร ของ DW คือเท่าไหร่,≤ 2 ปี,1262,1267
1345197.txt,ความเสี่ยงที่จะกระทบต่อความต้องการลงทุนในตราสารทุนมีอะไรบ้าง,"1.	สภาพคล่องของหลักทรัพย์ ผู้ลงทุนชอบหลักทรัพย์ที่มีสภาพคล่องสูง เนื่องจากสามารถซื้อขายแลกเปลี่ยนมือได้เร็ว
	2.	อัตราดอกเบี้ย การเพิ่มขึ้นของอัตราดอกเบี้ยทำให้ผู้ลงทุนหันไปลงทุนในตราสารหนี้มากขึ้น
	3.	เงินเฟ้อ เงินเฟ้อที่สูงขึ้น ทำให้ผู้ลงทุนต้องการผลตอบแทนจากการลงทุนที่สูงขึ้น (ต้องการซื้อตราสารทุนในราคาที่ถูกลง) เพื่อชดเชยกับเงินเฟ้อ",1076,1412
1345158.txt,บริหารแบบเชิงรับมีความเชื่ออย่างไร,ตลาดหลักทรัพย์มีประสิทธิภาพ,6369,6395
1345177.txt,อัตราส่วนที่ใช้วิเคราะห์ Warrant (ไทย) มีอะไรบ้าง,เหมือน Call DW,2558,2571
1345171.txt,ลักษณะของสิทธิแฝง (Embedded Option) คืออะไร,ตราสารหนี้บางประเภทอาจมีสิทธิพิเศษบางอย่างติดมาด้วย เช่น สิทธิในการให้ผู้ออกซื้อตราสารหนี้คืนก่อนครบกำหนด,757,861
1345201.txt,ระดับความเสี่ยงของกองทุนรวมตามประเภทสินทรัพย์ มีอะไรบ้าง,"ระดับความเสี่ยงของกองทุนและประเภทสินทรัพย์ที่กองทุนลงทุน จากน้อยไปมาก
	1	กองทุนรวมตลาดเงินที่ลงทุนในประเทศเท่านั้น
	2	กองทุนรวมตลาดเงิน (ลงทุนในต่างประเทศ ≤50% ของมูลค่าทรัพย์สินสุทธิ)
	3	กองทุนรวมพันธบัตร (ลงทุนในพันธบัตร ≥80% ของมูลค่าทรัพย์สินสุทธิ)
	4	กองทุนรวมตราสารหนี้ ที่ลงทุนใน Non-Investment Grade (High Yield Bond) หรือ ตราสารที่ไม่มีการจัดอันดับ (Unrated Bond) ไม่เกิน 20%
	5	กองทุนรวมตราสารหนี้ ที่ลงทุนใน Non-Investment Grade (High Yield Bond) หรือ Unrated Bond 20% ถึง <80% กองทุนรวมผสม (หากมีสัดส่วนตราสารหนี้สูงระดับความเสี่ยงจะโน้มไป 4 หากมีตราสารทุนสูงจะโน้มไป 6)
	6	กองทุนรวมตราสารหนี้ ที่ลงทุนใน Non-Investment Grade (High Yield Bond) หรือ Unrated Bond ≥80% กองทุนรวมตราสารทุน (ลงทุนในตราสารทุน ≥80% ของมูลค่าทรัพย์สินสุทธิ)
	7	กองทุนรวมหมวดอุตสาหกรรม
	8	กองทุนรวมที่ลงทุนในสินทรัพย์ทางเลือก ≥80% ของมูลค่าทรัพย์สินสุทธิ เช่น ทองคำ, น้ำมัน, สินค้าโภคภัณฑ์, REITs, กองทุนโครงสร้างพื้นฐาน, กองทุนรวมอสังหาริมทรัพย์
	8+	กองทุนที่ลงทุนในตราสารอนุพันธ์ (Derivative), การขายล่วงหน้า (Short Selling), ธุรกรรมซื้อคืน (Repo)",2443,3478
1345185.txt,XE คืออะไร,ผู้ซื้อ Warrant จะไม่มีสิทธิในการซื้อสินทรัพย์อ้างอิง,1231,1283
1345160.txt,กองทุนรวมดัชนีกองทุนรวมดัชนี (Index Fund) คืออะไร,เป็นกองทุนที่มีกลยุทธ์การบริหารแบบเชิงรับ (Passive Management) โดยจะลงทุนในหลักทรัพย์ทุกตัวในสัดส่วนที่เท่ากับดัชนี,21020,21134
1345160.txt,ที่มาและวัตถุประสงค์ของ RMF คืออะไร,ส่งเสริมการออมเพื่อการเกษียณ,15982,16009
1345156.txt,เพราะเหตุใดผู้ลงทุนจึงควรทำ Portfolio Rebalancing,เพื่อให้สัดส่วนของแต่ละสินทรัพย์กลับเข้าสู่สมดุล,2348,2395
1345136.txt,ในตลาด TBX ปรับช่วงราคาอย่างไร,ราคาปรับขึ้นลงช่วงละ 0.01,1737,1761
1345185.txt,XM คือออะไร,ผู้ซื้อหลักทรัพย์จะไม่มีสิทธิเข้าร่วมการประชุมผู้ถือหุ้น,1310,1365
1345173.txt,ตราสารหนี้แบ่งตามวิธีคืนเงินต้น มีอะไรบ้าง,"ตราสารหนี้ชนิดคืนเงินต้นครั้งเดียวเมื่อครบกำหนดไถ่ถอน
		ตราสารหนี้ชนิดทยอยคืนเงินต้น (Amortizing Bond)",637,738
1345140.txt,กระทรวงพาณิชย์ ให้ข้อมูลอะไรบ้าง,"*	ให้ข้อมูลเกี่ยวกับเศรษฐกิจการค้า เช่น ราคาสินค้า, อัตราเงินเฟ้อ, ดัชนีความเชื่อมั่น",1596,1680
1345185.txt,XW คืออะไร,ผู้ซื้อหลักทรัพย์จะไม่มีสิทธิได้รับ Warrant,1100,1142
1345158.txt,สูตรการคำนวณ NAV คืออะไร,"NAV = มูลค่าตลาดของสินทรัพย์ทั้งหมด - หนี้สินทั้งหมด
		โดยที่มูลค่าตลาดของสินทรัพย์ทั้งหมด = มูลค่าตลาดของสินทรัพย์ที่ลงทุน + รายได้ค้างรับ + เงินสด",2693,2840
1345171.txt,ILB คืออะไร,Inflation-Linked bond พันธบัตรชดเชยเงินเฟ้อ,1360,1402
1345154.txt,การซื้อหุ้นด้วยจำนวนเงินเท่าๆ กันตามกำหนดเวลาโดยไม่สนใจว่าราคาจะเป็นเท่าไร เป็นกลยุทธ์การลงทุนแบบใด,การลงทุนแบบถัวเฉลี่ยต้นทุน (Dollar-Cost Averaging: DCA),2493,2547
1345173.txt,ตราสารหนี้ที่จ่ายดอกเบี้ยคงที่ คืออะไร,ตราสารหนี้ที่มีกำหนดอัตราดอกเบี้ยแน่นอน,3228,3266
1345195.txt,Mega-cap Stock คืออะไร,"หุ้นที่มีมูลค่าตลาด >200,000 ล้านดอลลาร์",3632,3671
1345173.txt,ตราสารหนี้แบ่งตามอายุของตราสาร มีอะไรบ้าง,"ตราสารหนี้ระยะสั้น (อายุ ≤1 ปี)
		ตราสารหนี้ระยะยาว (อายุ >1 ปี)
		ตราสารหนี้ที่ไม่กำหนดอายุไถ่ถอน",154,251
1345154.txt,การลงทุนที่ลงทุนในหุ้นที่มีราคาต่ำกว่ามูลค่าที่แท้จริง เป็นกลยุทธ์การลงทุนแบบใด,การลงทุนแบบเน้นคุณค่า (Value Investing),62,100
1345200.txt,ราคาต้นทุน คืออะไร,ราคาที่รวมค่าใช้จ่ายในการซื้อหลักทรัพย์,542,580
1345160.txt,LTF มีการจ่ายปันผลอย่างไร,มีทั้งกองทุนที่ไม่จ่ายเงินปันผลและจ่ายเงินปันผล (จ่ายปันผลได้ไม่เกิน 30% ของกำไรสะสม),14721,14805
1345150.txt,Cash Flow Based Approach (Income Based Approach) คืออะไร,เป็นวิธีการประเมินมูลค่าแท้จริงซึ่งนำหลักการมูลค่าเงินตามเวลา (Time Value of Money) มาใช้,1397,1485
1345179.txt,ประโยชน์ของ NVDR คืออะไร,"1.	เป็นช่องทางการลงทุนของต่างชาติ (ทั้งนักลงทุนบุคคล และสถาบัน) โดยไม่ติด Foreign Limit
	2.	เพิ่มสภาพคล่องหลักทรัพย์",1205,1320
1345160.txt,ที่มาและวัตถุประสงค์ ของ LTF คืออะไร,สร้างเสถียรภาพให้ตลาดหุ้นไทย (เนื่องจากเดิมนักลงทุนมักเก็งกำไรในหุ้น โดยการซื้อ/ขาย สั้นๆ),14530,14619
1345195.txt,Defensive Stock หุ้นตั้งรับ มีลักษณะอย่างไร,"*	เป็นหุ้นที่มีราคาไม่ค่อยขึ้นลงตามเศรษฐกิจ
				*	ราคาหุ้นมักลงน้อย ในภาวะที่เศรษฐกิจไม่ดี
				*	เป็นหุ้นของบริษัทที่ขายสินค้าจำเป็น เช่น สาธารณูปโภค, อาหารและเครื่องดื่ม, ยารักษาโรค",2412,2593
1345148.txt,ประเมินมูลค่าหุ้น คืออะไร,การหามูลค่าที่แท้จริง (Intrinsic Value) ของหุ้นเพื่อใช้ในการตัดสินใจลงทุน (สำหรับผู้ลงทุน) และใช้ในประกอบการกำหนดราคาออกขายหลักทรัพย์ (สำหรับผู้ออกตราสารทุน) โดยที่ผู้ลงทุนสามารถตัดสินใจลงทุนได้,66,259
1345138.txt,ผู้ลงทุนสถาบัน ตามประกาศของ ก.ล.ต. มีอะไรบ้าง,"	1)	ธนาคารแห่งประเทศไทย
		2)	ธนาคารพาณิชย์
		3)	ธนาคารที่มีกฎหมายเฉพาะจัดตั้งขึ้น
		4)	บริษัทเงินทุน
		5)	บริษัทเครดิตฟองซิเอร์
		6)	บริษัทหลักทรัพย์
		7)	บริษัทประกันวินาศภัย
		8)	บริษัทประกันชีวิต
		9)	กองทุนรวม
		10)	กองทุนส่วนบุคคล
		11)	กองทุนสำรองเลี้ยงชีพ
		12)	กองทุนบำเหน็จบำนาญข้าราชการ
		13)	กองทุนประกันสังคม
		14)	กองทุนการออมแห่งชาติ
		15)	กองทุนเพื่อการฟื้นฟูและพัฒนาระบบสถาบันการเงิน
		16)	ผู้ประกอบธุรกิจสัญญาซื้อขายล่วงหน้า
		17)	ผู้ประกอบธุรกิจการซื้อขายล่วงหน้าสินค้าเกษตร
		18)	สถาบันการเงินระหว่างประเทศ
		19)	สถาบันคุ้มครองเงินฝาก
		20)	ตลาดหลักทรัพย์แห่งประเทศไทย
		21)	นิติบุคคลประเภทบรรษัท
		22)	นิติบุคคลซึ่งมีบุคคลตาม (1) ถึง (21) ถือหุ้นรวมกัน >75% ของจำนวนหุ้นที่มีสิทธิออกเสียงทั้งหมด
		23)	ผู้ลงทุนต่างประเทศซึ่งมีลักษณะตาม (1) ถึง (22)
		24)	ผู้จัดการกองทุน และผู้จัดการลงทุนในสัญญาซื้อขายล่วงหน้า
		25)	ผู้ลงทุนอื่นใดตามที่สำนักงานประกาศกำหนด",1137,2012
1345144.txt,อัตราผลตอบแทนถึงวันไถ่ถอนก่อนกำหนดจากผู้ออก คืออะไร,อัตราผลตอบแทนที่ผู้ลงทุนจะได้รับหากซื้อตราสารหนี้และถือจนถึงวันที่ผู้ออกตราสารใช้สิทธิซื้อตราสารหนี้คืน,2164,2266
1345158.txt,สูตรการคำนวณ NAV per unit คืออะไร,NAV per unit = NAV / จำนวนหน่วยของกองทุน,2937,2976
1345158.txt,บริหารแบบเชิงรุกมีเป้าหมายการลงทุนคืออะไร,สร้างผลตอบแทนสูงกว่าตลาด,5988,6011
1345138.txt,หน้าที่ของกระทรวงการคลัง คืออะไร,ควบคุมระบบการเงินทั้งระบบ,4915,4939
1345158.txt,บริหารแบบเชิงรับ มีวิธีการลงทุนอย่างไร,ลงทุนตามหลักทรัพย์ในตลาด,6331,6354
1345138.txt,สมาคมตราสารหนี้ไทย มีหน้าที่อะไร,"1)	กำกับดูแลผู้ค้าตราสารหนี้ ให้ปฏิบัติตามข้อบังคับและจรรยาบรรณ
		2)	เป็นศูนย์กลางเผยแพร่ข้อมูลตราสารหนี้ของประเทศ เช่น ข้อมูลการซื้อขาย, การขึ้นทะเบียนตราสารหนี้, มูลค่ายุติธรรมของตราสารหนี้, Yield Curve ของพันธบัตร, ดัชนีตราสารหนี้
		3)	กำหนดมาตรฐานการซื้อขายและแนวทางปฏิบัติในตลาดรองของตราสารหนี้ เช่น สัญลักษณ์ตราสารหนี้
		4)	ให้ความรู้และพัฒนาตลาดตราสารหนี้",5695,6056
1345150.txt,Liquidation Value (มูลค่าที่ขายทอดตลาดได้) คืออะไร,วิธีนี้จะปรับสินทรัพย์ให้เป็นมูลค่าที่คิดว่าจะขายได้หากเลิกกิจการและหักด้วยหนี้สิน โดย Liquidation Value จะไม่รวมสินทรัพย์ที่ไม่มีตัวตน และเป็นวิธีที่มักใช้ประเมินมูลค่าบริษัทที่กำลังจะล้มละลาย,1149,1341
1345197.txt,แหล่งที่มาของเงินทุนในการทำธุรกิจโดยทั่วไปมาจากแหล่งใด,1. เงินทุนเจ้าของและกำไรสะสม 2. การกู้ยืม,620,660
1345150.txt,การประเมินมูลค่า มีกี่ขั้นตอน,3 ขั้นตอน,1653,1661
